Company Name,long,lat,Supermarket_within_5_miles,Location Employee Size Actual,Location Sales Volume Actual,Status,Year
Quick Out Food Store Inc,-74.470361,40.443503,11,2,458000.0,Open,2011
Coco Tree Inc,-74.6198448,41.0698928,1,2,497000.0,Open,2011
Oak Valley Farms Inc,-74.97657790000001,39.8469926,18,9,1994000.0,Open,2011
Genuardi's,-75.00316959999999,39.9206869,25,200,9339000.0,Open,2011
Greek Pride Food Svc,-74.053453,40.9945,15,4,1010000.0,Open,2011
Rosell CITGO,-74.02029240000002,41.000285299999994,15,2,2596000.0,Open,2011
Super Fresh,-75.062301,39.9005149,21,130,28789000.0,Open,2011
Super Fresh,-74.5941073,40.336799400000004,8,150,34336000.0,Open,2011
Super Fresh,-74.9157392,39.8928598,13,75,17718000.0,Open,2011
Arthur's Mini Market Inc,-74.2636087,40.516589200000006,12,1,229000.0,Open,2011
Genuardi's,-74.920455,39.8696008,13,7,1654000.0,Open,2011
George Pandel Grocery,-73.9858725,40.87011079999999,29,2,505000.0,Open,2011
J & A Food Market,-74.274487,40.6092034,25,2,481000.0,Open,2011
Hoser Farm,-75.1090991,40.6803889,3,1,235000.0,Open,2011
My Bones & Biscuits Mugsy Bns,-74.3522725,39.9441306,3,1,259000.0,Open,2011
Sonex Food Products,-74.05770270000001,40.6985357,21,6,9906000.0,Open,2011
Abel Mini Market,-74.1232734,40.8740012,29,2,416000.0,Open,2011
Market Safety Research,-74.388551,40.8661826,13,2,529000.0,Open,2011
Deutsch Enterprises,-74.66778640000001,40.2493675,13,5,1173000.0,Open,2011
Metropolitan Food Systems,-74.2103662,40.9506061,12,3,623000.0,Open,2011
Optimal Trip,-74.19002490000001,40.9760245,17,2,416000.0,Open,2011
Punto Fijo Deli & Grocery Inc,-74.17410059999999,40.912076,18,1,55000.0,Open,2011
First Stop East Orange,-74.2236415,40.7500114,15,2,486000.0,Open,2011
Himi Inc,-74.46050809999998,40.884052399999995,8,3,3777000.0,Open,2011
Super Fresh,-74.818179,39.090356799999995,2,85,34690000.0,Open,2011
Fifi's Fine Foods LLC,-74.4928816,40.6785537,10,3,793000.0,Open,2011
Oasis Deli & Grocery,-75.18916,39.422469899999996,2,4,190000.0,Open,2011
Oxxo Store,-75.47008840000001,39.7259256,3,1,272000.0,Open,2011
4 M,-74.123365,40.66141270000001,18,2,461000.0,Open,2011
LA Bonita Supermarket LLC,-74.2249748,40.7662192,16,2,486000.0,Open,2011
Shree Ganesh Foods,-74.1500305,40.7932105,26,1,243000.0,Open,2011
Joe & Veronique Nutrition Hlth,-74.241478,40.7247999,26,3,298000.0,Open,2011
Echelon Food Management Inc,-74.9444869,39.857130100000006,18,4,886000.0,Open,2011
Vineland Specialty Foods LLC,-75.1283595,39.8607503,23,8,16223000.0,Open,2011
7-Eleven,-74.47390240000001,40.357060499999996,2,60,13735000.0,Open,2011
7-Eleven,-74.22538399999999,40.4196466,12,5,1145000.0,Open,2011
7-Eleven,-75.08057480000001,38.341103100000005,4,2,817000.0,Open,2011
Mar Brothers,-74.0175036,40.783353999999996,59,2,461000.0,Open,2011
Fruish Goods,-74.85099340000001,40.9093916,4,2,529000.0,Open,2011
Mc Farlands Car Wash & Gas,-74.56612340000001,40.5690378,9,18,1877000.0,Open,2011
Blimpie Mini Mart,-74.624696,40.5681695,8,5,308000.0,Open,2011
Franklin Food Mart,-74.4825108,40.487300700000006,10,6,6787000.0,Open,2011
Oldbridge Food Mart LLC,-74.3050379,40.406343299999996,9,2,458000.0,Open,2011
E & E Mini Market,-74.08258559999999,40.715263799999995,32,4,922000.0,Open,2011
Herrera Mini Market,-74.78145490000001,40.235099299999995,6,3,704000.0,Open,2011
Marina's Food Store,-74.184962,40.785639,25,1,243000.0,Open,2011
A & P Food Store,-74.21169609999998,39.7685102,6,65,16803000.0,Open,2011
A & P Food Store,-74.11892490000001,40.65954970000001,18,150,34559000.0,Open,2011
A & P Food Store,-74.71614890000001,40.8418677,8,160,42264000.0,Open,2011
A & P Food Store,-74.2277792,40.9297608,12,2,416000.0,Open,2011
Food Basics,-75.1122734,39.7209819,8,2,318000.0,Open,2011
Pathmark,-74.1456515,40.8048677,26,170,41246000.0,Closed,2011
Pathmark,-74.56025799999999,39.40413,9,100,26441000.0,Open,2011
Pathmark,-74.3043504,40.3506089,11,150,34348000.0,Closed,2011
Pathmark,-73.98630870000001,40.851508100000004,40,175,44159000.0,Open,2011
Pathmark,-74.19796240000001,40.8550546,10,130,34340000.0,Closed,2011
Pathmark,-74.03074670000001,40.9092635,23,100,25234000.0,Closed,2011
Pathmark,-74.2273786,40.1417112,7,200,45798000.0,Open,2011
Pathmark,-74.1618454,40.757647999999996,20,150,34559000.0,Open,2011
Pathmark,-75.04209940000001,39.867472899999996,28,2,443000.0,Open,2011
Pathmark,-74.20903630000001,40.8842165,19,2,416000.0,Closed,2011
Pathmark,-74.3429845,40.7984992,12,125,30328000.0,Closed,2011
Pathmark,-74.27358620000001,39.7018998,6,150,38776000.0,Open,2011
Pathmark,-74.1098647,40.3986796,11,175,40073000.0,Open,2011
Pathmark,-75.0382979,39.4267878,4,140,33405000.0,Open,2011
Pathmark,-74.02450390000001,40.7983287,55,191,44005000.0,Open,2011
Pathmark,-70.08011929999999,43.8844048,11,150,34336000.0,Closed,2011
Pathmark,-74.4258157,40.82539310000001,15,118,31170000.0,Closed,2011
Pathmark,-75.1108439,39.8315635,17,165,26156000.0,Closed,2011
Super Fresh,-74.7838147,39.6475089,2,65,17187000.0,Closed,2011
C Hamm Inc,-74.7351513,39.7775775,0,7,1654000.0,Open,2011
Rass Group LLC,-74.0470559,40.7489983,49,3,692000.0,Open,2011
