Address,Company Name,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population,lat,long
147 Ocean Ave,Que Chula Es Puebla,-0.1852492211091664,-0.04524736815191293,0.46677502957451267,-0.3523763410214331,-0.8034349615301226,0.3574242654559385,-0.025089684359558894,-1.0668844291762105,-0.1258889694565166,-0.6310753444423677,-0.9589394409025067,0.10321018800627499,40.0905222,-74.2085168
206 W Broad St,Fair Deal Market,-0.1852492211091664,-0.04524736815191293,-0.6193431059517488,-0.22357922308857914,-0.8034349615301226,-0.9836969784566737,-0.025089684359558894,-0.49663191538894197,-0.33851481770346814,-1.0075963631640177,-0.7623999126511916,-1.3152772463628395,39.8253489,-75.2829274
200 Broadway,Golden Mango,0.816254380512265,-0.04524736815191293,-0.19628450421672533,1.0465034676381753,-0.6514290031478929,-0.4611822081011105,-0.025089684359558894,-0.5216996716771028,-0.33851481770346814,-0.02864171448772775,-1.020821182621529,-0.33081199544868906,40.9186241,-74.166708
391 Somerset St,Jg Grocery,-0.1852492211091664,-0.04524736815191293,-0.32754260200078844,-0.29155547977536317,0.2606067471454901,0.30517278842038215,-0.9715773942641496,-0.11795678825901991,-0.1258889694565166,-0.6310753444423677,2.2419439060721635,-1.1385584163856997,40.4907388,-74.46066280000002
416 Columbia Blvd,Mini Market,-0.1852492211091664,-0.04524736815191293,-0.394164979256568,-0.33448785241964785,-1.4114587950590445,-1.03594845549223,-0.025089684359558894,-0.49663191538894197,-0.1258889694565166,-0.17925012197638773,-0.7623999126511916,-1.3152772463628395,39.8693167,-75.18123659999998
1505 Summit Ave # A,"Ethan, Melissa",-1.1867528227305977,-1.9874821409283865,-0.3907101463201699,-0.35595403874179016,-1.1074468782945837,2.551986300949304,-1.8623893565272935,-0.11258550986001392,-0.1258889694565166,2.757613824052482,-0.5241078737489793,0.41705886409272064,40.7635983,-74.0404087
118 1st St,Puebla Foods,-0.1852492211091664,-0.04524736815191293,-0.41236341385620556,-0.345220945580719,0.5646186639099497,3.248672661423388,-0.025089684359558894,5.411774323517643,-0.1258889694565166,0.7997045266999022,-1.020821182621529,-0.33081199544868906,40.8654501,-74.1173434
13 Mount Airy Rd,Bernardsvile Latin Groc Store,-2.188256424352029,-0.04524736815191293,-0.30372348780460096,-0.34164324786036193,0.8686305806744107,-0.9662798194448216,-0.025089684359558894,-0.11795678825901991,-0.33851481770346814,-1.1582047706526777,2.5625665477174504,-1.1238721328169772,40.7179847,-74.5693667
2408 Bergenline Ave,Union City Poultry Market,-0.1852492211091664,-0.04524736815191293,-0.31734733050005254,-0.20569073448679387,-0.3474170863834319,2.551986300949304,-0.025089684359558894,-0.11258550986001392,-0.1258889694565166,2.757613824052482,-0.0640722114336654,0.49553932585685845,40.7678493,-74.03197209999998
285 Grove St,Uja Inc,-2.188256424352029,-0.04524736815191293,-0.31734733050005254,-0.3595317364621472,1.1726424974388716,0.1658355163255653,-0.025089684359558894,-0.11258550986001392,-0.33851481770346814,2.2304843978421722,-0.0640722114336654,0.49553932585685845,40.7181123,-74.0441694
